appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
340,Half-Life 2: Lost Coast,2005-10-27,1,Valve,Valve,windows;mac;linux,0,Single-player;Commentary available,Action,FPS;Action;Singleplayer,0,5783,1020,46,29,10000000-20000000,0.0
1600,Dangerous Waters,2006-02-07,1,Sonalysts,Strategy First,windows,0,Single-player;Multi-player,Strategy,Strategy;Simulation;Naval,0,140,44,0,0,50000-100000,22.99
3510,Amazing Adventures The Lost Tomb™,2007-12-13,1,SpinTop Games,"PopCap Games, Inc.",windows,0,Single-player,Casual,Casual;Hidden Object;Puzzle,0,21,8,0,0,20000-50000,4.25
3710,Judge Dredd: Dredd vs. Death,2009-03-26,1,Rebellion,Rebellion,windows,0,Single-player;Multi-player;Co-op,Action,Action;FPS;First-Person,0,559,79,8,8,50000-100000,5.59
3820,BloodRayne 2,2006-09-14,1,Terminal Reality,Majesco Entertainment,windows,0,Single-player;Steam Trading Cards,Action,Action;Vampire;Female Protagonist,0,259,103,771,771,50000-100000,6.99
4230,RACE - The WTCC Game,2006-11-24,1,SimBin,SimBin,windows,0,Single-player;Multi-player,Racing,Racing;Simulation,0,119,43,0,0,200000-500000,25.99
8600,RACE 07,2007-10-15,1,SimBin,SimBin,windows,0,Single-player;Multi-player,Racing,Racing;Simulation;Driving,0,1684,348,1636,218,1000000-2000000,2.49
9480,Saints Row 2,2009-01-07,1,Volition,Deep Silver,windows;linux,0,Single-player;Steam Cloud,Action,Open World;Action;Character Customization,0,9442,2881,322,81,2000000-5000000,9.99
12340,Jack Keane,2008-06-27,1,Deck13,Deck13,windows,0,Single-player;Steam Trading Cards,Adventure,Adventure;Point & Click;Comedy,0,46,27,0,0,20000-50000,6.99
12470,Port Royale 2,2009-06-16,1,Ascaron Entertainment ltd.,Strategy First,windows,0,Single-player,Strategy,Strategy;Trading;Pirates,0,174,95,203,203,50000-100000,2.99
15390,Brothers in Arms: Hell's Highway™,2008-10-08,1,Gearbox Software,Ubisoft,windows,0,Single-player,Action,Action;World War II;FPS,0,823,98,346,346,100000-200000,8.59
15750,Oddworld: Stranger's Wrath HD,2010-12-20,1,Oddworld Inhabitants,Oddworld Inhabitants,windows,0,Single-player;Steam Achievements,Action;Adventure;Strategy,Adventure;Action;Singleplayer,36,759,139,98,98,200000-500000,6.99
19020,Puzzle Chronicles,2010-06-25,1,Infinite Interactive,"Konami Digital Entertainment, Inc.;Konami Digital Entertainment GmbH",windows,0,Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud,Casual;RPG,RPG;Casual;Puzzle,12,16,8,0,0,0-20000,7.99
20530,Red Faction,2009-08-05,1,"Volition, Inc.",THQ Nordic,windows,0,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Sci-fi,0,1327,151,79,107,500000-1000000,4.99
21500,Pyroblazer®,2008-11-13,1,Eipix,Candella Systems Ltd,windows,0,Single-player,Racing,Racing;Sci-fi,0,5,3,0,0,0-20000,4.99
23600,Depths of Peril,2010-11-23,1,Soldak Entertainment,Soldak Entertainment,windows;mac;linux,0,Single-player,Indie;RPG;Strategy,Strategy;RPG;Indie,0,69,24,0,0,20000-50000,6.99
24800,Command & Conquer: Red Alert 3 - Uprising,2009-10-06,1,EA Los Angeles,Electronic Arts,windows,0,Single-player,Strategy,Strategy;RTS;Base-Building,0,1449,362,136,205,1000000-2000000,9.99
25000,Overgrowth,2017-10-16,1,Wolfire Games,Wolfire Games,windows;mac;linux,0,Single-player;Partial Controller Support;Includes level editor,Action;Indie,Parkour;Action;Indie,0,3200,1315,777,1365,500000-1000000,22.99
31860,Nancy Drew®: Legend of the Crystal Skull,2009-07-17,1,HeR Interactive,HeR Interactive,windows,0,Single-player,Adventure,Adventure;Point & Click;Mystery,0,24,3,0,0,0-20000,5.19
32200,Metal Drift,2009-10-22,1,Black Jacket Studios,Black Jacket Studios,windows,0,Single-player;Multi-player;Steam Achievements,Action;Indie;Racing;Sports,Action;Indie;Racing,28,81,45,91,173,20000-50000,6.99
34190,Sonic & SEGA All-Stars Racing,2010-03-03,1,Sumo Digital,SEGA,windows,0,Single-player,Racing,Racing;Local Multiplayer;Arcade,0,614,173,759,859,200000-500000,4.99
34810,Project Freedom,2009-10-14,1,City Interactive,CI Games,windows,0,Single-player,Action;Simulation,Action;Simulation;Space,0,80,26,0,0,20000-50000,2.99
35600,Big Brain Wolf,2009-11-05,1,Frima,Frima,windows,0,Single-player;Steam Achievements,Adventure;Casual;Strategy,Adventure;Casual;Strategy,10,44,37,0,0,20000-50000,3.99
36300,Cake Mania Main Street™,2010-02-16,1,Sandlot Games,Sandlot Games,windows,0,Single-player,Casual,Casual;Time Management,0,13,5,0,0,0-20000,4.99
37000,The Void,2009-12-15,1,Ice-Pick Lodge,Ice-Pick Lodge,windows,0,Single-player;Steam Trading Cards,Nudity;Action;Adventure,Surreal;Nudity;Adventure,0,581,126,27,34,100000-200000,6.99
37240,Diner Dash:® Hometown Hero™,2009-08-12,1,PlayFirst,PlayFirst,windows;mac,0,Single-player,Simulation,Time Management;Casual,0,26,66,0,0,0-20000,7.49
37270,Wandering Willows™,2009-08-12,1,PlayFirst,PlayFirst,windows;mac,0,Single-player,Adventure;RPG,Casual;Adventure;Cute,0,20,0,0,0,0-20000,10.99
37960,Jewel Quest Pack,2009-08-24,1,iWin,iWin,windows,0,Single-player,Casual,Casual;Puzzle;Match 3,0,19,3,0,0,0-20000,14.99
38070,Coconut Queen,2009-12-17,1,iWin,iWin,windows,0,Single-player,Casual;Simulation,Casual;Simulation,0,11,1,0,0,0-20000,6.99
39520,The Guild Gold Edition,2014-09-09,1,4HEAD Studios,THQ Nordic,windows,0,Single-player;Multi-player,Simulation;Strategy,Strategy;Simulation;Economy,0,175,75,28,39,100000-200000,8.99
41070,Serious Sam 3: BFE,2011-11-22,1,Croteam,Devolver Digital,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Action;Indie,FPS;Action;Co-op,62,15574,1977,378,215,2000000-5000000,29.99
41600,Earthworm Jim 3D,2009-11-04,1,VIS Interactive,Interplay Inc.,windows,0,Single-player,Action;Adventure,Adventure;Action;Platformer,0,34,36,0,0,0-20000,14.99
47810,Dragon Age: Origins - Ultimate Edition,2010-10-29,1,BioWare,Electronic Arts,windows,0,Single-player,RPG,RPG;Fantasy;Story Rich,0,8808,726,686,464,1000000-2000000,19.99
50300,Spec Ops: The Line,2012-06-28,1,YAGER,2K;Missing Link Games,windows;mac;linux,18,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure,Story Rich;Third-Person Shooter;Action,50,32361,2613,293,301,2000000-5000000,19.99
55230,Saints Row: The Third,2011-11-17,1,Volition,Deep Silver,windows;linux,18,Single-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Open World;Action;Comedy,83,44810,1877,1848,1033,2000000-5000000,6.99
63500,Swords and Soldiers HD,2010-12-02,1,Ronimo Games,Ronimo Games,windows;mac,0,Single-player;Multi-player;Steam Achievements;Valve Anti-Cheat enabled;Steam Leaderboards,Action;Casual;Indie;Strategy,Strategy;Indie;Casual,25,572,160,132,227,100000-200000,6.99
63800,Delve Deeper,2010-09-24,1,Lunar Giant,Lunar Giant Studios,windows,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Indie;RPG;Strategy,Strategy;Indie;Adventure,50,225,159,241,241,50000-100000,3.99
65800,Dungeon Defenders,2011-10-18,1,Trendy Entertainment,Trendy Entertainment,windows;mac;linux,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards,Action;Indie;RPG;Strategy,Tower Defense;RPG;Co-op,114,10693,932,1993,1205,1000000-2000000,9.99
105800,PixelJunk™ Eden,2012-02-02,1,Q-Games Ltd.,Q-Games Ltd.,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Casual;Indie;Platformer,61,558,140,65,74,200000-500000,6.99
108210,Memoir '44 Online,2011-10-12,1,Days of Wonder,Days of Wonder;Asmodee Digital,windows,0,Single-player;Multi-player;Steam Achievements,Casual;Simulation;Strategy,Strategy;Board Game;Casual,62,177,119,7,7,200000-500000,0.0
113020,Monaco: What's Yours Is Mine,2013-04-24,1,Pocketwatch Games,Pocketwatch Games,windows;mac;linux,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Action;Adventure;Casual;Indie;Strategy,Co-op;Stealth;Indie,13,7237,749,183,135,2000000-5000000,10.99
205090,BIT.TRIP FLUX,2014-06-05,1,Gaijin Games,Gaijin Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,20,71,62,0,0,20000-50000,6.99
205840,Yesterday,2012-03-22,1,Pendulo Studios,Focus Home Interactive,windows,0,Single-player,Adventure,Adventure;Point & Click;Mystery,0,551,113,126,126,100000-200000,6.99
214150,Galactic Civilizations® I: Ultimate Edition,2012-08-14,1,Stardock Entertainment,Stardock Entertainment,windows,0,Single-player,Strategy,Strategy;4X;Space,0,93,91,22,32,200000-500000,6.99
214970,Intrusion 2,2012-09-11,1,Aleksey Abramenko,Aleksey Abramenko,windows;linux,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Indie,Action;Indie;Platformer,14,983,194,85,143,200000-500000,6.49
215280,Secret World Legends,2017-07-31,1,Funcom,Funcom,windows,0,Multi-player;Online Multi-Player;MMO;Online Co-op;Steam Trading Cards,Action;Adventure;Free to Play;Massively Multiplayer;RPG,MMORPG;Massively Multiplayer;RPG,0,4420,2106,645,408,1000000-2000000,0.0
215710, Fieldrunners 2,2013-01-10,1,Subatomic Studios LLC,Subatomic Studios LLC,windows,0,Single-player,Action;Strategy;Casual,Tower Defense;Strategy;Casual,59,268,53,0,0,100000-200000,6.99
