appid,pc_requirements,mac_requirements,linux_requirements,minimum,recommended
340,"{'minimum': '\r\n\t\t\t<p><strong>Minimum:</strong> Pentium 4 2.4GHz or AMD 2800+ Processor, 1GB RAM, DirectX 9 level graphics card, Windows XP, Mouse, Keyboard, Internet Connection<br /></p>\r\n\t\t\t'}",[],[],"Pentium 4 2.4GHz or AMD 2800+ Processor, 1GB RAM, DirectX 9 level graphics card, Windows XP, Mouse, Keyboard, Internet Connection",
1600,"{'minimum': '<strong>Minimum:</strong> Windows XP, 550Mhz CPU, 128 MB RAM, D3D Video Card with 32MB RAM (DirectX 9.0b drivers), DX9 Sound Card, 590MB hard drive space, Internet or LAN connection for multiplayer<br>\t\t\t\t\t<strong>Recommended:</strong> 1GHz+ CPU, 256 MB RAM, D3D Video Card with 64MB RAM (with DirectX 9.0b compatible drivers), 1GB hard-drive space'}",[],[],"Windows XP, 550Mhz CPU, 128 MB RAM, D3D Video Card with 32MB RAM (DirectX 9.0b drivers), DX9 Sound Card, 590MB hard drive space, Internet or LAN connection for multiplayer Recommended: 1GHz+ CPU, 256 MB RAM, D3D Video Card with 64MB RAM (with DirectX 9.0b compatible drivers), 1GB hard-drive space",
3510,"{'minimum': '<p><strong>Minimum:</strong></p>\n\t\t\t\t\t<ul>\n\t\t\t\t\t<li><strong>OS:</strong> Microsoft&reg; Windows&reg; XP, Vista&trade; or 2000</li>\n\t\t\t\t\t<li><strong>Processor:</strong> 350 Mhz Pentium or greater CPU</li>\n\t\t\t\t\t<li><strong>Memory:</strong> 128 MB RAM or greater</li>\n\t\t\t\t\t<li><strong>Graphics:</strong> 16-bit Graphics and Sound card</li>\n\t\t\t\t\t<li><strong>DirectX Version:</strong> DirectX7 or later</li>\n\t\t\t\t\t<li><strong>Hard Drive:</strong> 75 MB free hard drive space</li></ul>'}",[],[],"OS: Microsoft&reg; Windows&reg; XP, Vista&trade; or 2000Processor: 350 Mhz Pentium or greater CPUMemory: 128 MB RAM or greaterGraphics: 16-bit Graphics and Sound cardDirectX Version: DirectX7 or laterHard Drive: 75 MB free hard drive space",
3710,"{'minimum': '<ul class=""bb_ul""><li><strong>Supported OS: </strong> Microsoft® Windows® XP/Vista<br>\t\t\t\t\t\t</li><li><strong>Processor: </strong> Intel Pentium III or AMD Athlon 700MHz computer or equivalent<br>\t\t\t\t\t\t</li><li><strong>Graphics: </strong> 32MB graphics card that supports Transform and Lighting (GeForce 1, ATI Radeon 7500 or better)<br>\t\t\t\t\t\t</li><li><strong>Sound: </strong> Windows compatible sound card <br>\t\t\t\t\t\t</li><li><strong>DirectX Version: </strong>DirectX 9.0<br>\t\t\t\t\t\t</li><li><strong>Memory: </strong> 128 MB RAM\t\t\t<br>\t\t\t\t\t\t</li><li><strong>Hard Drive: </strong> 1.5 GB free hard disk space</li></ul>'}",[],[],"Supported OS:  Microsoft® Windows® XP/Vista Processor:  Intel Pentium III or AMD Athlon 700MHz computer or equivalent Graphics:  32MB graphics card that supports Transform and Lighting (GeForce 1, ATI Radeon 7500 or better) Sound:  Windows compatible sound card  DirectX Version: DirectX 9.0 Memory:  128 MB RAM Hard Drive:  1.5 GB free hard disk space",
3820,"{'minimum': '<strong>Minimum:</strong> Windows 98 SE/2000/XP, 1.2 GHz processor, 256MB RAM, 200MB virtual memory, 5 GB free hard disc space, DirectX 8.1 or higher (included with game), DirectX compatible sound card, 100% DirectX 8.1 compatible video card, GeForce 3 or higher, with Hardware T&amp;L (Transform &amp; Lighting). Excludes GeForce MX and Go series cards. See full list below.<br>\t\t\t\t\tExcluded cards:<br>- ATI Rage (all), Radeon VE and Radeon 7000, 7500, 9000 <br>- ATI Mobility Radeon (original, laptop) <br>- NVidia GeForce 4 MX 420 or 440 PCI <br>- Nvidia Quadro NVS <br>- Nvidia GeForce 2 series <br>- Nvidia Geforce4 440 Go 64M (laptop users) <br>- Kyro 3D Prophet <br>- Matrox <br>- 3D Labs <br>- Intel Onboard (all versions) <br><br>\t\t\t\t\t<strong>Recommended:</strong> Windows XP, Pentium 4 2.0 GHz or AMD equivalent, 512 MB RAM, 200MB virtual memory, 5 GB free hard disc space, 100% DirectX 8.1 compatible video card, Matrox Pahrelia, Nvidia GeForce 6800, ATI Radeon X800, 9600, 9700, 9800 or better, DirectX 8.1 or higher, DirectX compatible sound card'}",[],[],"Windows 98 SE/2000/XP, 1.2 GHz processor, 256MB RAM, 200MB virtual memory, 5 GB free hard disc space, DirectX 8.1 or higher (included with game), DirectX compatible sound card, 100% DirectX 8.1 compatible video card, GeForce 3 or higher, with Hardware T&amp;L (Transform &amp; Lighting). Excludes GeForce MX and Go series cards. See full list below. Excluded cards: - ATI Rage (all), Radeon VE and Radeon 7000, 7500, 9000  - ATI Mobility Radeon (original, laptop)  - NVidia GeForce 4 MX 420 or 440 PCI  - Nvidia Quadro NVS  - Nvidia GeForce 2 series  - Nvidia Geforce4 440 Go 64M (laptop users)  - Kyro 3D Prophet  - Matrox  - 3D Labs  - Intel Onboard (all versions)   Recommended: Windows XP, Pentium 4 2.0 GHz or AMD equivalent, 512 MB RAM, 200MB virtual memory, 5 GB free hard disc space, 100% DirectX 8.1 compatible video card, Matrox Pahrelia, Nvidia GeForce 6800, ATI Radeon X800, 9600, 9700, 9800 or better, DirectX 8.1 or higher, DirectX compatible sound card",
4230,"{'minimum': '<strong>Minimum</strong> Microsoft Windows XP Home/Pro, 1.7 GHz Intel Pentium 4 or 100% compatible Processor, 512 MB RAM, 2.5 GB free space, DirectX 9 compatible graphics card with 128 MB memory, DirectX 9 compatible Sound Card, Keyboard and Mouse, DirectX Version 9<br>\t\t\t\t\t<strong>Recommended</strong>3 GHz Intel Pentium IV or 100% compatible Processor, 1 GB RAM, DirectX 9 compatible graphics card with 256 MB memory, DirectX 9 compatible force feedback steering wheel<br><br><strong>Graphic Cards not supported:</strong><br><ul class=""bb_ul""><li>NVIDIA GeForce 3/4 cards<br></li><li>ATI Radeon 8500/9000/9200<br></li><li>Intel Motherboard mounted chipsets</li></ul>'}",[],[],"Minimum Microsoft Windows XP Home/Pro, 1.7 GHz Intel Pentium 4 or 100% compatible Processor, 512 MB RAM, 2.5 GB free space, DirectX 9 compatible graphics card with 128 MB memory, DirectX 9 compatible Sound Card, Keyboard and Mouse, DirectX Version 9 Recommended3 GHz Intel Pentium IV or 100% compatible Processor, 1 GB RAM, DirectX 9 compatible graphics card with 256 MB memory, DirectX 9 compatible force feedback steering wheel  Graphic Cards not supported: NVIDIA GeForce 3/4 cards ATI Radeon 8500/9000/9200 Intel Motherboard mounted chipsets",
8600,"{'minimum': '<strong>Minimum: </strong><br>\t\t\t\t\t<ul class=""bb_ul""><li><strong>Supported OS:</strong> Microsoft Windows XP Home/Pro, Windows Vista*<br>\t\t\t\t\t</li><li><strong>Processor:</strong> 1.7 GHz Intel Pentium 4 or 100% compatible<br>\t\t\t\t\t</li><li><strong>Memory:</strong> 512 MB RAM<br>\t\t\t\t\t</li><li><strong>Graphics:</strong> DirectX 9 compatible graphics card with 128 MB memory<br>\t\t\t\t\t</li><li><strong>Sound:</strong> DirectX 9 compatible<br>\t\t\t\t\t</li><li><strong>Direct X Version:</strong> 9<br>\t\t\t\t\t</li><li><strong>Hard Drive:</strong> 2.5 GB free space <br>\t\t\t\t\t</li><li><strong>Input Devices: </strong>Keyboard and Mouse</li></ul>            <br>\t\t\t\t\t<strong>Recommended: </strong><br>\t\t\t\t\t<ul class=""bb_ul""><li><strong>Supported OS:</strong> Microsoft Windows XP Home/Pro, Windows Vista*<br>\t\t\t\t\t</li><li><strong>Processor:</strong> 3 GHz Intel Pentium IV or 100% compatible<br>\t\t\t\t\t</li><li><strong>Memory:</strong> 2 GB RAM<br>\t\t\t\t\t</li><li><strong>Graphics:</strong> DirectX 9 compatible graphics card with 512 MB memory, Nvidia 6800 or better<br>\t\t\t\t\t</li><li><strong>Sound:</strong> DirectX 9 compatible<br>\t\t\t\t\t</li><li><strong>Direct X Version:</strong> 9<br>\t\t\t\t\t</li><li><strong>Hard Drive:</strong> 2.5 GB free space <br>\t\t\t\t\t</li><li><strong>Input Devices: </strong>DirectX 9 compatible force feedback steering wheel<br>\t\t\t\t\t</li><li>*Limited support                    </li></ul>'}",[],[],"Supported OS: Microsoft Windows XP Home/Pro, Windows Vista* Processor: 1.7 GHz Intel Pentium 4 or 100% compatible Memory: 512 MB RAM Graphics: DirectX 9 compatible graphics card with 128 MB memory Sound: DirectX 9 compatible Direct X Version: 9 Hard Drive: 2.5 GB free space  Input Devices: Keyboard and Mouse             Recommended:  Supported OS: Microsoft Windows XP Home/Pro, Windows Vista* Processor: 3 GHz Intel Pentium IV or 100% compatible Memory: 2 GB RAM Graphics: DirectX 9 compatible graphics card with 512 MB memory, Nvidia 6800 or better Sound: DirectX 9 compatible Direct X Version: 9 Hard Drive: 2.5 GB free space  Input Devices: DirectX 9 compatible force feedback steering wheel *Limited support",
9480,"{'minimum': '<strong>Minimum:</strong>                    <br>\t\t\t\t\t<ul class=""bb_ul""><li><strong>Supported OS:</strong>Windows XP or Vista.                                           <br>\t\t\t\t\t</li><li><strong>Processor: </strong>2.0 GHz Intel Dual-Core Pentium IV or equivalent or AMD Dual-Core Athlon XP or equivalent                    <br>\t\t\t\t\t</li><li><strong>Memory: </strong>1 GB system RAM                     <br>\t\t\t\t\t</li><li><strong>Graphics: </strong>128MB 3D graphics card with Shader Model 3.0 support (i.e. 7600 NVidia card or better, ATI X1300 card or better)                    <br>\t\t\t\t\t</li><li><strong>DirectX Version: </strong>DirectX 9.0c                      <br>\t\t\t\t\t</li><li><strong>Sound: </strong>DirectX 9.0c compatible 16-bit sound card                    <br>\t\t\t\t\t</li><li><strong>Hard Drive: </strong>15 GB of Hard Drive Space                    <br>\t\t\t\t\t</li><li><strong>Display: </strong>DirectX compatible display capable of 640x480 in 16-bit color                    <br>\t\t\t\t                   </li></ul>', 'recommended': '<strong>Recommended:</strong>                    <br>\t\t\t\t\t<ul class=""bb_ul""><li><strong>Supported OS:</strong>Windows XP or Vista.                                           <br>\t\t\t\t\t</li><li><strong>Processor: </strong>3.2 GHz Intel Dual-Core Pentium IV or equivalent or AMD Dual-Core Athlon XP or equivalent                    <br>\t\t\t\t\t</li><li><strong>Memory: </strong>2 GB system RAM                     <br>\t\t\t\t\t</li><li><strong>Graphics: </strong>256MB 3D graphics card with Shader Model 3.0 support (i.e. 8800 NVidia card or better, ATI HD3850 card or better)                    <br>\t\t\t\t\t</li><li><strong>DirectX Version: </strong>DirectX 9.0c                      <br>\t\t\t\t\t</li><li><strong>Sound: </strong>DirectX 9.0c compatible 16-bit sound card                    <br>\t\t\t\t\t</li><li><strong>Hard Drive: </strong>15 GB of Hard Drive Space                    <br>\t\t\t\t\t</li><li><strong>Display: </strong>DirectX compatible display capable of 640x480 in 16-bit color                    <br>\t\t\t\t\t                 </li></ul>'}",[],"{'minimum': '<strong>Minimum:</strong>                    <br>\t\t\t\t\t<ul class=""bb_ul""><li><strong>Supported OS:</strong>Ubuntu 14.04.3 LTS, Ubuntu 15.04, Linux Mint 17.1, Steam OS Brewmaster                                           <br>\t\t\t\t\t</li><li><strong>CPU: </strong>  Intel Core i5-4570T (2.9 GHz) or equivalent or AMD FX-4300 (3.8 GHz) or equivalent                 <br>\t\t\t\t\t</li><li><strong>Memory: </strong>4096 MB                     <br>\t\t\t\t\t</li><li><strong>GPU: </strong>GeForce GTX 460 (1024 MB) or equivalent or Radeon HD 6850 (1024 MB) or equivalent           <br></li><li><strong>Recommended Graphics Drivers:</strong> Nvidia: 352, 355 or 358 series driver / AMD: AMD Catalyst (fglrx) 15.9 or better. MESA drivers and Intel Graphics are not currently supported.                                           <br>\t\t\t\t\t</li><li><strong>Hard Drive: </strong>Around 7 GB                       <br>\t\t\t\t\t</li><li><strong>Disclaimer: </strong> Due to issues surrounding the original engine, some stuttering may be observed during gameplay. These types of streaming issues may be improved with faster HDD units.</li></ul>', 'recommended': '<strong>Recommended:</strong>                    <br>\t\t\t\t\t<ul class=""bb_ul""><li><strong>Supported OS:</strong>Ubuntu 14.04.3 LTS, Ubuntu 15.04, Linux Mint 17.1, Steam OS Brewmaster                                           <br>\t\t\t\t\t</li><li><strong>CPU: </strong> Intel Core i5-4670K (3.4 GHz) or equivalent or AMD FX-8370 (4.0 GHz) or equivalent                <br>\t\t\t\t\t</li><li><strong>Memory: </strong>8192 MB                     <br>\t\t\t\t\t</li><li><strong>GPU: </strong>GeForce GTX 760 (2048 MB) or equivalent or Radeon R9 285 (2048 MB) or equivalent     <br></li><li><strong>Recommended Graphics Drivers:</strong> Nvidia: 352, 355 or 358 series driver / AMD: AMD Catalyst (fglrx) 15.9 or better. MESA drivers and Intel Graphics are not currently supported.                                                   <br>\t\t\t\t\t</li><li><strong>Hard Drive: </strong>Around 7 GB                       <br>\t\t\t\t\t</li><li><strong>Disclaimer: </strong> Due to issues surrounding the original engine, some stuttering may be observed during gameplay. These types of streaming issues may be improved with faster HDD units.</li></ul>'}","Supported OS:Windows XP or Vista.                                            Processor: 2.0 GHz Intel Dual-Core Pentium IV or equivalent or AMD Dual-Core Athlon XP or equivalent                     Memory: 1 GB system RAM                      Graphics: 128MB 3D graphics card with Shader Model 3.0 support (i.e. 7600 NVidia card or better, ATI X1300 card or better)                     DirectX Version: DirectX 9.0c                       Sound: DirectX 9.0c compatible 16-bit sound card                     Hard Drive: 15 GB of Hard Drive Space                     Display: DirectX compatible display capable of 640x480 in 16-bit color","Supported OS:Windows XP or Vista.                                            Processor: 3.2 GHz Intel Dual-Core Pentium IV or equivalent or AMD Dual-Core Athlon XP or equivalent                     Memory: 2 GB system RAM                      Graphics: 256MB 3D graphics card with Shader Model 3.0 support (i.e. 8800 NVidia card or better, ATI HD3850 card or better)                     DirectX Version: DirectX 9.0c                       Sound: DirectX 9.0c compatible 16-bit sound card                     Hard Drive: 15 GB of Hard Drive Space                     Display: DirectX compatible display capable of 640x480 in 16-bit color"
12340,"{'minimum': '<strong>Minimum:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Microsoft Windows XP, Windows Vista<br></li><li><strong>Processor:</strong> Pentium IV 2 GHz / Athlon 2.4 GHz<br></li><li><strong>Memory:</strong> 512 MB RAM <br></li><li><strong>Graphics:</strong> DirectX 9.0c-compatible graphic card with 128 MB RAM (MX series and XGI Volari are not supported)<br></li><li><strong>Hard Drive:</strong> 1.5 GB hard-disk capacity <br></li><li><strong>Input Devices: </strong> DirectX 9.0c-compatible keyboard and mouse</li></ul>', 'recommended': '<strong>Recommended:</strong><br><ul class=""bb_ul""><li><strong>OS:</strong> Microsoft Windows XP, Windows Vista <br></li><li><strong>Processor:</strong> Intel-/AMD-CPU with 3.0 GHz<br></li><li><strong>Memory:</strong> 1 GB RAM <br></li><li><strong>Graphics:</strong> DirectX 9.0c-compatible graphic card with 256 MB RAM <br></li><li><strong>Hard Drive:</strong> 1.5 GB hard-disk capacity<br></li><li><strong>Input Devices: </strong> DirectX 9.0c-compatible keyboard and mouse</li></ul>'}",[],[],"OS: Microsoft Windows XP, Windows Vista Processor: Pentium IV 2 GHz / Athlon 2.4 GHz Memory: 512 MB RAM  Graphics: DirectX 9.0c-compatible graphic card with 128 MB RAM (MX series and XGI Volari are not supported) Hard Drive: 1.5 GB hard-disk capacity  Input Devices:  DirectX 9.0c-compatible keyboard and mouse","OS: Microsoft Windows XP, Windows Vista  Processor: Intel-/AMD-CPU with 3.0 GHz Memory: 1 GB RAM  Graphics: DirectX 9.0c-compatible graphic card with 256 MB RAM  Hard Drive: 1.5 GB hard-disk capacity Input Devices:  DirectX 9.0c-compatible keyboard and mouse"
12470,"{'minimum': '<ul class=""bb_ul""><li><strong>OS:</strong> Windows XP / Vista<br>\t\t\t\t</li><li><strong>Processor:</strong> Pentium III (or compatible) with 700MHz (or higher)<br>\t\t\t\t</li><li><strong>Memory:</strong> 128 MB RAM (for Windows 98SE or ME), 256 MB RAM (for Windows 2000, or XP)<br>\t\t\t\t</li><li><strong>Graphics:</strong> DirectX-8 compatible Graphic Card<br>\t\t\t\t</li><li><strong>DirectX®:</strong> DirectX 9<br>\t\t\t\t</li><li><strong>Hard Drive:</strong> 700MB of free space<br>\t\t\t\t</li><li><strong>Sound:</strong> DirectX-8 compatible Sound Card<br>\t\t\t\t</li></ul>'}",[],[],"OS: Windows XP / Vista Processor: Pentium III (or compatible) with 700MHz (or higher) Memory: 128 MB RAM (for Windows 98SE or ME), 256 MB RAM (for Windows 2000, or XP) Graphics: DirectX-8 compatible Graphic Card DirectX®: DirectX 9 Hard Drive: 700MB of free space Sound: DirectX-8 compatible Sound Card",
