appid,website,support_url,support_email
340,http://www.half-life2.com,,
1600,http://www.scs-dangerouswaters.com/,http://strategyfirst.com/products/support.html,
3510,http://amazingadventuresgame.com/,,
3710,http://www.rebellion.co.uk/,,
3820,http://www.bloodrayne2.com/,http://www.majescoent.com/content/support,
4230,http://www.race-game.org/,,work@simbin.com
8600,http://www.race-game.org/race07/index.htm,,work@simbin.com
9480,http://www.saintsrow.com/,helpcenter.deepsilver.com,
12340,http://www.strategyfirst.com/games/1432-jack-keane.html,,
12470,http://www.ascaron.com/gb/portroyale2/index.html,http://strategyfirst.com/products/support.html,
15390,http://www.brothersinarmsgame.com,,
15750,http://www.oddworld.com,,
19020,http://konami.com/games/puzzle-chronicles/,https://us.konami.com/support/,
20530,http://www.redfaction.com,,support@quanticlab.com
21500,http://www.pyroblazer.com,,
23600,http://www.soldak.com/Depths-of-Peril/Overview.html,,
25000,http://www.wolfire.com/overgrowth,,contact@wolfire.com
31860,https://www.herinteractive.com/shop-games/nancy-drew-legend-of-the-crystal-skull/,https://www.herinteractive.com/support/contact-support/,techsupport@herinteractive.com
32200,http://www.metaldrift.com,,
34190,http://www.sega.com/sonicracing/,https://support.sega.co.uk,
34810,,http://www.cigames.com/en/Support,
35600,http://www.bigbrainwolf.com,,bigbrainwolfsupport@frimastudio.com
36300,http://www.sandlotgames.com/w5/cake_mania_main_street.html,,
37000,http://ice-pick.com,,support@ice-pick.com
37240,http://www.playfirst.com/game/dinerdashhometownhero,,
37270,http://www.playfirst.com/game/wandering-willows,,
37960,http://www.iwin.com,,
38070,http://www.iwin.com/games/coconut-queen,,
39520,,,support@quanticlab.com
41070,http://www.croteam.com,,support@croteam.com
47810,http://dragonage.bioware.com/dao/,,
50300,http://www.specopstheline.com/,,
55230,http://www.saintsrow.com/,helpcenter.deepsilver.com,
63500,http://www.swordsandsoldiers.com,,
63800,http://www.delve-deeper.com/,,
